"Index","Name","Ticker"
"WIG","NETIA","NET"
"WIG","NEUCA","NEU"
"WIG","NEWAG","NWG"
"WIG","NEXITY","NXG"
"WIG","NOVATURAS","NTU"
"WIG","NOVAVISGR","NVG"
"WIG","NTTSYSTEM","NTT"
"WIG","OAT","OAT"
"WIG","ODLEWNIE","ODL"
"WIG","OEX","OEX"
"WIG","OPONEO.PL","OPN"
"WIG","OPTEAM","OPM"
"WIG","ORANGEPL","OPL"
"WIG","ORZBIALY","OBL"
"WIG","OTLOG","OTS"
"WIG","OTMUCHOW","OTM"
"WIG","OVOSTAR","OVO"
"WIG","PAMAPOL","PMP"
"WIG","PANOVA","NVA"
"WIG","PATENTUS","PAT"
"WIG","PBKM","BKM"
"WIG","PCCROKITA","PCR"
"WIG","PEKABEX","PBX"
"WIG","PEKAO","PEO"
"WIG","PEMANAGER","PEM"
"WIG","PEP","PEP"
"WIG","PEPEES","PPS"
"WIG","PGE","PGE"
"WIG","PGNIG","PGN"
"WIG","PGO","PGO"
"WIG","PGSSOFT","PSW"
"WIG","PHARMENA","PHR"
"WIG","PHN","PHN"
"WIG","PKNORLEN","PKN"
"WIG","PKOBP","PKO"
"WIG","PKPCARGO","PKP"
"WIG","PLASTBOX","PLX"
"WIG","PLAYWAY","PLW"
"WIG","PMPG","PGM"
"WIG","POLICE","PCE"
"WIG","POLIMEXMS","PXM"
"WIG","POLWAX","PWX"
"WIG","POZBUD","POZ"
"WIG","PRAGMAFA","PRF"
"WIG","PRAGMAINK","PRI"
"WIG","PRAIRIE","PDZ"
"WIG","PROCHEM","PRM"
"WIG","PROJPRZEM","PJP"
"WIG","PROTEKTOR","PRT"
"WIG","PROVIDENT","IPF"
"WIG","PUNKPIRAT","PUN"
"WIG","PZU","PZU"
"WIG","QUERCUS","QRS"
"WIG","R22","R22"
"WIG","RADPOL","RDL"
"WIG","RAFAMET","RAF"
"WIG","RAINBOW","RBW"
"WIG","RANKPROGR","RNK"
"WIG","RAWLPLUG","RWL"
"WIG","RELPOL","RLP"
"WIG","REMAK","RMK"
"WIG","RONSON","RON"
"WIG","ROPCZYCE","RPC"
"WIG","RYVU","RVU"
"WIG","SANOK","SNK"
"WIG","SANPL","SPL"
"WIG","SANTANDER","SAN"
"WIG","SANWIL","SNW"
"WIG","SECOGROUP","SWG"
"WIG","SEKO","SEK"
"WIG","SELENAFM","SEL"
"WIG","SELVITA","SLV"
"WIG","SERINUS","SEN"
"WIG","SILVAIR-REGS","SVRS"
"WIG","SILVANO","SFG"
"WIG","SIMPLE","SME"
"WIG","SKARBIEC","SKH"
"WIG","SKOTAN","SKT"
"WIG","SNIEZKA","SKA"
"WIG","SOLAR","SOL"
"WIG","SONEL","SON"
"WIG","SOPHARMA","SPH"
"WIG","STALEXP","STX"
"WIG","STALPROD","STP"
"WIG","STALPROFI","STF"
"WIG","STAPORKOW","ZUK"
"WIG","SUNEX","SNX"
"WIG","SUWARY","SUW"
"WIG","SWISSMED","SWD"
"WIG","SYGNITY","SGN"
"WIG","SYNEKTIK","SNT"
"WIG","TALANX","TNX"
"WIG","TALEX","TLX"
"WIG","TATRY","TMR"
"WIG","TAURONPE","TPE"
"WIG","TBULL","TBL"
"WIG","TESGAS","TSG"
"WIG","TIM","TIM"
"WIG","TORPOL","TOR"
"WIG","TOWERINVT","TOW"
"WIG","TOYA","TOA"
"WIG","TRAKCJA","TRK"
"WIG","TRANSPOL","TRN"
"WIG","TRITON","TRI"
"WIG","TSGAMES","TEN"
"WIG","ULMA","ULM"
"WIG","ULTGAMES","ULG"
"WIG","UNIBEP","UNI"
"WIG","UNICREDIT","UCG"
"WIG","UNIMOT","UNT"
"WIG","VENTUREIN","VTI"
"WIG","VIGOSYS","VGO"
"WIG","VINDEXUS","VIN"
"WIG","VISTAL","VTL"
"WIG","VOTUM","VOT"
"WIG","VOXEL","VOX"
"WIG","VRG","VRG"
"WIG","WARIMPEX","WXF"
"WIG","WASKO","WAS"
"WIG","WAWEL","WWL"
"WIG","WIELTON","WLT"
"WIG","WIKANA","WIK"
"WIG","WIRTUALNA","WPL"
"WIG","WITTCHEN","WTN"
"WIG","WOJAS","WOJ"
"WIG","WORKSERV","WSE"
"WIG","XTB","XTB"
"WIG","XTPL","XTP"
"WIG","ZAMET","ZMT"
"WIG","ZEPAK","ZEP"
"WIG","ZPUE","PUE"
"WIG","ZREMB","ZRE"
"WIG","ZUE","ZUE"
"MWIG40","11BIT","11B"
"MWIG40","AMICA","AMC"
