id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10407289;Kreuzberger Kiez Wohnung;53591283;SÃ¶ren;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,5001352255978;13,4454740562799;Entire home/apt;50;3;2;2016-10-01;0,07;1;0
10411401;Furnished big and bright room in Bergmannkiez;18618088;Sedef;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4902071758064;13,3928453872615;Shared room;37;3;2;2018-09-12;0,6;1;0
10412444;Wonderful flat in PrenzlauerBerg;17720597;Joanna;Pankow;Prenzlauer Berg SÃŒd;52,5313620501824;13,4210812499203;Entire home/apt;130;3;13;2018-07-09;0,39;1;17
10412912;Holidays in Berlin Kreuzberg;53623589;Sandra;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4959449995234;13,4044547760982;Entire home/apt;60;4;3;2017-01-05;0,09;1;0
10415237;Lola's cozy Apartment in C-Burg;53638448;Lola;Charlottenburg-Wilm.;SchloÃ Charlottenburg;52,5160340062669;13,2920392966484;Entire home/apt;49;1;14;2016-05-01;0,41;1;0
10420010;Bright room in a shared apartment.;3951687;RenÃ©, Ania And Yannik;Mitte;Alexanderplatz;52,5196005625171;13,409936167212;Private room;69;2;17;2018-09-18;0,53;1;362
10420419;NeukÃ¶lln;52622613;Svenja;NeukÃ¶lln;NeukÃ¶llner Mitte/Zentrum;52,4676907601605;13,4322000110779;Private room;20;7;1;2016-10-09;0,04;1;0
10422682;4 Zimmer Wohnung in NeukÃ¶lln;53680660;Matthias;NeukÃ¶lln;Schillerpromenade;52,4731828717797;13,4248129682325;Entire home/apt;40;1;0;;;1;0
10422965;Modern flat in the heart of Berlin;12154423;Xiaoqin;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,5015736751049;13,3727859336733;Entire home/apt;100;2;51;2018-10-20;1,5;1;316
10423394;Cocoon SchÃ¶neberg OFFICIAL RENT VIA BERLINCITY;53684639;Stefanie;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-SÃŒd;52,4878060341763;13,362869309866;Entire home/apt;120;3;108;2018-10-26;3,3;1;145
10424157;;53687492;Mathias;Mitte;Brunnenstr. SÃŒd;52,5297331902853;13,3957964841404;Private room;40;1;0;;;1;0
10424987;Cosy Place in Mitte;5400207;Philipp;Mitte;Alexanderplatz;52,5114875650478;13,4065553921595;Entire home/apt;52;60;16;2018-01-28;0,47;1;258
10425489;Zimmer in Berlin Mitte;47371579;Max;Mitte;Wedding Zentrum;52,5533224788643;13,3789465811731;Private room;35;2;0;;;3;0
10427951;Charming bright apartment with balcony;23057711;Isabelle;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-SÃŒd;52,4880026785877;13,3418380670396;Entire home/apt;79;4;2;2018-01-06;0,14;2;0
10431434;Individual Design Appartment;47368524;Moritz;NeukÃ¶lln;NeukÃ¶llner Mitte/Zentrum;52,4726156279422;13,4306280124053;Entire home/apt;85;1;90;2018-10-28;2,95;1;361
10433313;Designer Flat on the canal;4048308;Lara;NeukÃ¶lln;ReuterstraÃe;52,4935673520981;13,4246760668462;Entire home/apt;110;3;0;;;1;14
10443514;In 8 Minuten im Zentrum! 40 qm+TV;53801254;Neele;Mitte;Parkviertel;52,5472655549761;13,3509189293574;Entire home/apt;22;2;1;2016-01-29;0,03;1;0
10444887;18 qm WG-Zimmer im juni;53808299;Marlies;Mitte;Brunnenstr. Nord;52,5469267351471;13,3810865208651;Private room;15;12;0;;;1;0
10447308;shared flat with 3 Persons age24-29;53822044;Kevin;Mitte;Wedding Zentrum;52,5518399994688;13,3765180082108;Private room;15;8;0;;;1;0
10448213;Bright duplex close to F'hain;930797;Katja;Lichtenberg;Neu Lichtenberg;52,5028379068251;13,4790204634459;Entire home/apt;70;7;0;;;1;0
10448387;Charming 28mÂ² room in Friedrichhain;53823330;Simon;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5075288016695;13,4522030422481;Private room;50;1;0;;;1;0
10450486;Dbl Bed in West Berlin + City Tour;4049705;Martins;Charlottenburg-Wilm.;Westend;52,5121889128462;13,2644072962081;Shared room;40;1;18;2016-06-06;0,52;1;0
10451042;Lovely room  in Mitte;53127824;Silvia;Mitte;Brunnenstr. SÃŒd;52,5343699478198;13,4016506372522;Private room;30;2;3;2018-03-23;0,09;1;0
10452414;Berlin Center WIFI new Appart.Balc.;34330424;Gaocai;Mitte;Alexanderplatz;52,5254220995833;13,4158330338789;Entire home/apt;60;1;57;2016-10-16;1,7;1;0
10453457;Lovely room in the heart of Berlin;7336687;Wega;Friedrichshain-Kreuzberg;Karl-Marx-Allee-SÃŒd;52,5177819837643;13,4328188660315;Private room;55;30;31;2018-09-14;1,38;1;364
10461103;Sunny and beautiful at Ostkreuz - FOR YOU ONLY!;52008137;Rebekka;Lichtenberg;Neu Lichtenberg;52,5042585650257;13,4812460702252;Entire home/apt;47;2;8;2018-04-02;0,26;1;0
10461373;well fitted studio apartment;51894996;Lara;Steglitz - Zehlendorf;SchloÃstr.;52,4621206894447;13,3165678214496;Entire home/apt;29;1;0;;;1;0
10469426;Cosy studio apartm. NeukÃ¶lln Berlin;50464949;Muhamad Shakir;NeukÃ¶lln;Schillerpromenade;52,4654332921964;13,4301805869251;Entire home/apt;34;3;1;2016-03-06;0,03;1;0
10480005;bright_cosy_quiet;54017972;Kamila;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4977848204705;13,3879202898537;Shared room;25;1;95;2018-11-03;2,76;1;365
10480680;Room(s) in charming central apartment;1124543;Elli;Charlottenburg-Wilm.;KurfÃŒrstendamm;52,5009082311328;13,3285761102441;Private room;39;4;8;2018-09-22;0,29;3;145
10483677;Great central city apartment Mitte;54039179;Lana;Mitte;Brunnenstr. SÃŒd;52,5296085384636;13,3969158160096;Entire home/apt;179;1;106;2018-10-29;3,15;6;156
10483898;Sunny, big room with balcony access;35015269;Linus Und Stefan;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5135694495497;13,4634646052015;Private room;32;2;4;2016-10-30;0,13;2;0
10484647;Wedding is Wedding;50056316;Graf;Mitte;Wedding Zentrum;52,5474289551753;13,3717493178087;Entire home/apt;25;1;0;;;2;0
10485258;Large modern flat- Treptow/NeukÃ¶lln;3283542;Yarin;Treptow - KÃ¶penick;Alt  Treptow;52,4892210314172;13,4520396672652;Entire home/apt;45;1;0;;;1;0
10485991;comfortable room in a shared flat;54053245;Julius;Charlottenburg-Wilm.;SchloÃ Charlottenburg;52,5154477823691;13,2913229227413;Private room;15;2;21;2018-10-06;0,7;1;0
10487584;Spacious room in sunny penthouse;17863336;Christian;Pankow;Pankow SÃŒd;52,5575823171341;13,4226316923309;Private room;24;2;5;2016-07-02;0,15;2;0
10488330;HabitaciÃ³n Doble Centro;50061239;Aida;Mitte;Alexanderplatz;52,5219800605679;13,4255776721441;Private room;20;1;0;;;1;0
10491381;GemÃŒtlicher Raum in Top Lage;4156975;Julia;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-SÃŒd;52,4895900890869;13,3611290469992;Entire home/apt;45;1;1;2016-03-22;0,03;1;0
10492561;Ricardo's & Angely's Place :);54084595;Ricardo;Charlottenburg-Wilm.;Wiesbadener StraÃe;52,4734722632889;13,314624349383;Private room;50;2;19;2016-10-30;0,56;1;0
10496243;Sacred & Cosy Place in PÂŽBerg;327316;Alina;Pankow;Prenzlauer Berg SÃŒd;52,53511376097;13,4252469590887;Private room;35;1;8;2017-04-13;0,26;1;0
10497486;Sehr helle 1-Zimmerwohnung im Roman;54117705;Karo;Mitte;Brunnenstr. SÃŒd;52,5305017138451;13,3887359225161;Entire home/apt;40;2;4;2016-05-07;0,12;1;0
10497594;Berlin -Friedrichshain;1136257;Carina;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5071516794233;13,4705049117972;Private room;18;1;27;2018-10-31;0,8;1;156
10507195;Art Noveau Apartm. (Minimum 30 Days);35452711;Fred;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4882771336932;13,3774751432271;Entire home/apt;130;30;21;2018-09-14;0,62;2;54
10508462;2-bedroom apartment on Staakener Street;52747435;Asel;Spandau;Wilhelmstadt;52,5351941318457;13,1821662886091;Entire home/apt;39;30;2;2018-09-16;0,51;17;354
10508713;Berlin cozy, big and bright room;54113594;Gaia;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4927478535913;13,3688585929307;Private room;28;10;2;2016-02-07;0,06;1;0
10509712;Super cozy room next to Boxhagener Platz;54185699;Laura;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5122863273534;13,4586218782677;Private room;28;2;113;2018-10-23;3,4;1;13
