<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20100910,000000,48.444,48.444,48.314,48.359,694,0
CCC,D,20100913,000000,48.922,48.922,48.877,48.877,119,0
CCC,D,20100914,000000,48.487,48.618,47.664,48.618,907,0
CCC,D,20100915,000000,49.007,49.007,46.755,47.881,60070,0
CCC,D,20100916,000000,47.319,47.621,46.799,46.799,95316,0
CCC,D,20100917,000000,47.579,47.579,46.583,46.755,3852,0
CCC,D,20100920,000000,46.972,47.621,46.755,47.621,1599,0
CCC,D,20100921,000000,47.664,48.922,47.664,48.922,1658,0
CCC,D,20100922,000000,48.922,48.922,47.275,47.796,1634,0
CCC,D,20100923,000000,48.056,48.056,47.881,47.881,142,0
CCC,D,20100924,000000,48.227,49.138,47.925,49.138,97903,0
CCC,D,20100927,000000,49.266,51.086,49.223,51.043,13483,0
CCC,D,20100928,000000,50.393,51.693,49.57,51.086,26145,0
CCC,D,20100929,000000,51.086,51.519,50.263,51.519,37886,0
CCC,D,20100930,000000,51.086,51.519,49.787,49.787,52308,0
CCC,D,20101001,000000,49.873,51.951,48.661,49.787,21525,0
CCC,D,20101004,000000,49.873,51.475,49.873,51.171,9208,0
CCC,D,20101005,000000,50.307,50.695,50.307,50.393,1951,0
CCC,D,20101006,000000,50.349,51.086,50.263,50.652,4843,0
CCC,D,20101007,000000,50.566,50.566,49.829,49.829,5047,0
CCC,D,20101008,000000,50.089,50.089,47.664,48.531,19261,0
CCC,D,20101011,000000,48.531,50.045,48.141,48.576,18665,0
CCC,D,20101012,000000,49.701,49.701,48.618,48.661,61554,0
CCC,D,20101013,000000,49.787,50.738,48.963,50.738,7074,0
CCC,D,20101014,000000,51.388,53.252,51.171,51.908,26918,0
CCC,D,20101015,000000,52.99,53.338,52.081,52.946,7078,0
CCC,D,20101018,000000,53.338,53.682,52.385,53.422,5503,0
CCC,D,20101019,000000,53.467,53.682,52.385,52.385,21956,0
CCC,D,20101020,000000,53.252,53.252,52.037,52.385,7083,0
CCC,D,20101021,000000,52.037,53.51,51.995,53.378,5863,0
CCC,D,20101022,000000,53.682,53.682,52.644,53.163,568,0
CCC,D,20101025,000000,53.163,53.595,52.686,53.422,4285,0
CCC,D,20101026,000000,53.595,53.595,52.903,53.422,9048,0
CCC,D,20101027,000000,53.682,53.682,52.99,53.595,3480,0
CCC,D,20101028,000000,53.422,53.595,53.252,53.595,13990,0
CCC,D,20101029,000000,53.25,53.597,53.25,53.597,14077,0
CCC,D,20101102,000000,53.595,53.595,53.595,53.595,24826,0
CCC,D,20101103,000000,53.682,55.327,53.682,55.327,3618,0
CCC,D,20101104,000000,56.282,56.282,55.154,55.242,49364,0
CCC,D,20101105,000000,55.761,55.761,55.199,55.242,902,0
CCC,D,20101108,000000,55.805,55.805,55.327,55.371,3715,0
CCC,D,20101109,000000,56.282,56.282,54.548,55.371,6427,0
CCC,D,20101110,000000,55.459,55.459,54.463,54.548,13494,0
CCC,D,20101112,000000,54.548,54.548,53.855,54.332,86,0
CCC,D,20101115,000000,54.548,55.327,54.116,55.327,7195,0
CCC,D,20101116,000000,55.415,55.415,54.982,55.327,1447,0
CCC,D,20101117,000000,54.982,55.327,54.809,55.327,47817,0
CCC,D,20101118,000000,55.327,55.327,54.894,55.242,439,0
CCC,D,20101119,000000,55.327,55.327,53.682,53.682,7456,0
CCC,D,20101122,000000,53.682,53.682,53.595,53.595,19328,0
CCC,D,20101123,000000,53.682,53.682,52.817,53.682,903,0
CCC,D,20101124,000000,52.385,53.595,52.385,53.595,1484,0
CCC,D,20101125,000000,55.761,55.761,53.338,53.682,13825,0
CCC,D,20101126,000000,53.595,54.635,53.252,54.289,1006,0
CCC,D,20101129,000000,53.252,53.595,53.252,53.595,661,0
CCC,D,20101130,000000,53.682,53.682,53.338,53.682,3337,0
CCC,D,20101201,000000,53.338,55.327,53.035,55.327,69050,0
CCC,D,20101202,000000,54.592,54.592,53.252,54.116,35564,0
CCC,D,20101203,000000,54.116,54.982,53.682,54.982,4116,0
CCC,D,20101206,000000,54.982,54.982,54.244,54.852,7859,0
CCC,D,20101207,000000,54.463,54.548,53.901,54.332,33247,0
CCC,D,20101208,000000,53.682,55.242,53.682,54.982,34241,0
CCC,D,20101209,000000,55.242,55.242,54.029,54.548,57298,0
CCC,D,20101210,000000,54.548,54.852,52.817,54.852,3949,0
CCC,D,20101213,000000,53.813,54.809,53.813,54.548,3458,0
CCC,D,20101214,000000,54.548,54.548,53.252,54.548,7729,0
CCC,D,20101215,000000,54.548,54.548,53.727,53.813,24880,0
CCC,D,20101216,000000,53.855,55.415,53.855,55.415,4695,0
CCC,D,20101217,000000,55.502,57.147,54.982,57.147,28863,0
CCC,D,20101220,000000,57.147,58.705,57.147,57.666,4071,0
CCC,D,20101221,000000,57.926,58.747,56.973,58.747,48763,0
CCC,D,20101222,000000,58.705,59.743,58.532,59.008,34619,0
CCC,D,20101223,000000,58.878,59.657,58.66,59.657,3222,0
CCC,D,20101227,000000,58.965,59.657,58.965,59.657,2563,0
CCC,D,20101228,000000,59.743,60.177,59.31,59.657,36375,0
CCC,D,20101229,000000,60.609,60.697,59.397,59.657,8281,0
CCC,D,20101230,000000,59.397,60.48,59.397,59.484,4804,0
CCC,D,20101231,000000,59.313,59.484,58.875,58.875,43232,0
CCC,D,20110103,000000,58.878,58.878,56.713,57.147,22889,0
CCC,D,20110104,000000,57.235,57.926,55.415,57.06,5616,0
CCC,D,20110105,000000,56.973,58.012,56.282,56.282,8809,0
CCC,D,20110107,000000,56.282,58.012,55.63,55.935,700,0
CCC,D,20110110,000000,55.935,56.931,55.848,55.848,697,0
CCC,D,20110111,000000,55.415,57.06,55.024,56.367,1013,0
CCC,D,20110112,000000,56.8,56.8,55.286,55.848,4438,0
CCC,D,20110113,000000,56.713,56.713,53.51,55.848,167097,0
CCC,D,20110114,000000,54.723,55.415,54.723,54.723,1218,0
CCC,D,20110117,000000,54.894,54.894,54.548,54.809,202,0
CCC,D,20110118,000000,55.286,55.415,54.548,54.548,15747,0
CCC,D,20110119,000000,53.813,54.548,53.682,54.548,449,0
CCC,D,20110120,000000,55.286,55.415,55.242,55.242,322,0
CCC,D,20110121,000000,55.242,55.415,55.242,55.415,4046,0
CCC,D,20110124,000000,55.415,55.415,53.942,53.942,409,0
CCC,D,20110125,000000,53.942,55.848,53.942,55.848,7683,0
CCC,D,20110126,000000,56.282,56.41,54.723,55.848,61775,0
CCC,D,20110127,000000,54.982,55.848,54.419,55.848,785,0
CCC,D,20110128,000000,55.848,55.848,55.848,55.848,1728,0
CCC,D,20110131,000000,55.851,55.851,55.411,55.411,1431,0
CCC,D,20110201,000000,54.765,55.415,53.855,55.415,1981,0
CCC,D,20110202,000000,55.848,55.848,54.419,54.938,2278,0
CCC,D,20110203,000000,54.072,54.548,54.072,54.548,329,0
CCC,D,20110204,000000,53.769,54.116,53.51,54.116,1178,0
CCC,D,20110207,000000,54.116,54.116,53.338,54.072,4066,0
CCC,D,20110208,000000,53.205,54.548,53.035,53.855,1772,0
CCC,D,20110209,000000,53.035,53.467,51.951,52.385,7726,0
CCC,D,20110210,000000,52.385,52.385,51.086,51.778,54226,0
CCC,D,20110211,000000,51.086,52.037,50.523,52.037,1367,0
CCC,D,20110214,000000,52.817,52.817,51.606,51.606,1386,0
CCC,D,20110215,000000,52.817,52.817,51.693,51.951,2744,0
CCC,D,20110216,000000,51.951,52.385,51.43,51.908,12682,0
CCC,D,20110217,000000,51.864,52.817,50.869,51.345,64778,0
CCC,D,20110218,000000,51.519,51.561,50.349,51.519,36503,0
CCC,D,20110221,000000,51.951,51.951,51.519,51.778,1914,0
CCC,D,20110222,000000,51.778,51.778,50.263,51.561,992,0
CCC,D,20110223,000000,51.519,51.778,51.086,51.778,1192,0
CCC,D,20110224,000000,51.778,51.778,51.086,51.778,519,0
CCC,D,20110225,000000,51.693,51.693,51.606,51.606,635,0
CCC,D,20110228,000000,51.864,51.864,51.821,51.864,254,0
CCC,D,20110301,000000,51.778,51.778,51.606,51.778,347,0
